,user,text,favorite_count,retweet_count,created_at
74,SismologicoMX,"SISMO Magnitud 3.9 Loc. 2 km al NORESTE de CINTALAPA, CHIS 07/01/23 00:35:30 Lat 16.70 Lon -93.70 Pf 159 km",108,8,2023-01-07 14:06:42+00:00
75,SismologicoMX,"SISMO Magnitud 3.3 Loc. 27 km al OESTE de SAN MARCOS, GRO 07/01/23 00:40:05 Lat 16.75 Lon -99.64 Pf 3 km",24,4,2023-01-07 14:06:38+00:00
76,SismologicoMX,"SISMO Magnitud 3.6 Loc. 72 km al SUROESTE de COALCOMAN, MICH 07/01/23 00:37:04 Lat 18.18 Lon -103.45 Pf 11 km",24,2,2023-01-07 14:06:34+00:00
77,SismologicoMX,"SISMO Magnitud 3.0 Loc. 1 km al SUROESTE de SAN MARCOS, GRO 06/01/23 23:14:09 Lat 16.79 Lon -99.40 Pf 9 km",43,3,2023-01-07 14:06:31+00:00
78,SismologicoMX,"SISMO Magnitud 3.0 Loc. 16 km al NORESTE de ACAPULCO, GRO 06/01/23 23:01:58 Lat 16.92 Lon -99.76 Pf 34 km",22,4,2023-01-07 14:06:27+00:00
79,SismologicoMX,"SISMO Magnitud 3.6 Loc. 68 km al SUROESTE de LAS CHOAPAS, VER 07/01/23 04:44:15 Lat 17.37 Lon -94.41 Pf 5 km",27,5,2023-01-07 14:06:23+00:00
80,SismologicoMX,"SISMO Magnitud 3.8 Loc. 28 km al SUROESTE de RIO GRANDE, OAX 07/01/23 03:58:36 Lat 15.88 Lon -97.66 Pf 5 km",27,3,2023-01-07 14:06:20+00:00
81,SismologicoMX,"SISMO Magnitud 3.7 Loc. 12 km al OESTE de GPE VICTORIA(KM.43), BC 07/01/23 03:11:39 Lat 32.28 Lon -115.22 Pf 20 km",32,4,2023-01-07 14:06:16+00:00
82,SismologicoMX,"SISMO Magnitud 3.7 Loc. 55 km al NORESTE de MATIAS ROMERO, OAX 07/01/23 02:48:12 Lat 17.19 Lon -94.64 Pf 134 km",29,2,2023-01-07 14:06:13+00:00
83,SismologicoMX,"SISMO Magnitud 3.7 Loc. 25 km al SUROESTE de VICENTE GUERRERO, BC 07/01/23 02:25:02 Lat 30.61 Lon -116.21 Pf 10 km",52,1,2023-01-07 14:06:09+00:00
84,SismologicoMX,"SISMO Magnitud 3.9 Loc. 95 km al SURESTE de SALINA CRUZ, OAX 07/01/23 01:55:37 Lat 15.41 Lon -94.82 Pf 16 km",23,1,2023-01-07 14:06:06+00:00
85,SismologicoMX,"SISMO Magnitud 3.6 Loc. 45 km al SURESTE de TECOMAN, COL 07/01/23 01:48:32 Lat 18.55 Lon -103.66 Pf 5 km",26,1,2023-01-07 14:06:02+00:00
86,SismologicoMX,"SISMO Magnitud 3.9 Loc. 170 km al SUROESTE de MAPASTEPEC, CHIS 06/01/23 22:50:36 Lat 14.28 Lon -93.92 Pf 10 km",26,1,2023-01-07 14:05:52+00:00
87,SismologicoMX,"SISMO Magnitud 3.2 Loc. 13 km al SURESTE de H HUAJUAPAN DE LEON, OAX 06/01/23 22:49:58 Lat 17.77 Lon -97.66 Pf 62 km",25,2,2023-01-07 14:05:49+00:00
88,SismologicoMX,"SISMO Magnitud 3.4 Loc. 38 km al SUROESTE de RIO GRANDE, OAX 06/01/23 22:35:51 Lat 15.79 Lon -97.70 Pf 17 km",20,1,2023-01-07 14:05:45+00:00
89,SismologicoMX,"SISMO Magnitud 3.6 Loc. 30 km al SUROESTE de SALINA CRUZ, OAX 06/01/23 22:32:53 Lat 15.97 Lon -95.38 Pf 52 km",81,3,2023-01-07 14:05:42+00:00
90,SismologicoMX,"SISMO Magnitud 3.7 Loc. 18 km al SUROESTE de CD IXTEPEC, OAX 06/01/23 22:27:25 Lat 16.51 Lon -95.25 Pf 2 km",26,1,2023-01-07 14:05:38+00:00
91,SismologicoMX,"SISMO Magnitud 3.2 Loc. 19 km al SURESTE de CASIMIRO CASTILLO, JAL 06/01/23 22:27:07 Lat 19.46 Lon -104.34 Pf 23 km",24,1,2023-01-07 14:05:35+00:00
92,SismologicoMX,"SISMO Magnitud 3.4 Loc. 17 km al OESTE de MATIAS ROMERO, OAX 06/01/23 22:23:44 Lat 16.86 Lon -95.20 Pf 106 km",27,1,2023-01-07 14:05:31+00:00
93,SismologicoMX,"SISMO Magnitud 4.0 Loc  26 km al NOROESTE de VICENTE GUERRERO, BC 06/01/23 21:55:30 Lat 30.80 Lon -116.25 Pf 10 km https://t.co/BVrkq4KXOM",39,6,2023-01-07 14:05:27+00:00
94,SismologicoMX,"SISMO Magnitud 4.0 Loc. 26 km al NOROESTE de VICENTE GUERRERO, BC 06/01/23 21:55:30 Lat 30.80 Lon -116.25 Pf 10 km",37,2,2023-01-07 14:05:23+00:00
95,SismologicoMX,"SISMO Magnitud 3.9 Loc. 36 km al OESTE de VICENTE GUERRERO, BC 06/01/23 21:55:30 Lat 30.71 Lon -116.36 Pf 10 km",25,2,2023-01-07 14:05:20+00:00
96,SismologicoMX,"SISMO Magnitud 3.8 Loc. 40 km al OESTE de VICENTE GUERRERO, BC 06/01/23 21:48:38 Lat 30.65 Lon -116.40 Pf 10 km",26,1,2023-01-07 14:05:16+00:00
97,SismologicoMX,"SISMO Magnitud 3.6 Loc. 24 km al NOROESTE de CINTALAPA, CHIS 06/01/23 21:45:52 Lat 16.88 Lon -93.84 Pf 149 km",23,2,2023-01-07 14:05:13+00:00
98,SismologicoMX,"SISMO Magnitud 3.5 Loc. 17 km al SUROESTE de VICENTE GUERRERO, BC 06/01/23 20:35:37 Lat 30.68 Lon -116.16 Pf 10 km",29,1,2023-01-07 14:05:09+00:00
99,SismologicoMX,"SISMO Magnitud 3.5 Loc. 71 km al SUR de COALCOMAN, MICH 06/01/23 20:19:47 Lat 18.14 Lon -103.22 Pf 9 km",27,1,2023-01-07 14:05:06+00:00
100,SismologicoMX,"SISMO Magnitud 2.2 Loc. 3 km al NORTE de ZACATECAS, ZAC 06/01/23 18:50:57 Lat 22.80 Lon -102.57 Pf 2 km",25,2,2023-01-07 14:05:02+00:00
101,SismologicoMX,A las 08:00 a.m. inicia el envío del reporte matutino de sismicidad que incluye los sismos de magnitud menor a 4.0 actualizado hasta las 05:00 a.m.,62,1,2023-01-07 13:46:40+00:00
102,SismologicoMX,"SISMO Magnitud 4.1 Loc  47 km al NOROESTE de CINTALAPA, CHIS 07/01/23 05:13:38 Lat 17.03 Lon -93.99 Pf 166 km https://t.co/fywmyUvmYS",91,8,2023-01-07 11:48:05+00:00
103,SismologicoMX,"SISMO Magnitud 4.1 Loc. 47 km al NOROESTE de CINTALAPA, CHIS 07/01/23 05:13:38 Lat 17.03 Lon -93.99 Pf 166 km",47,3,2023-01-07 11:48:01+00:00
104,SismologicoMX,"SISMO Magnitud 4.1 Loc  25 km al SUROESTE de CD HIDALGO, CHIS 07/01/23 05:07:30 Lat 14.53 Lon -92.33 Pf 10 km https://t.co/TLYWh2TWGl",73,9,2023-01-07 11:30:05+00:00
105,SismologicoMX,"SISMO Magnitud 4.1 Loc. 25 km al SUROESTE de CD HIDALGO, CHIS 07/01/23 05:07:30 Lat 14.53 Lon -92.33 Pf 10 km",93,6,2023-01-07 11:30:01+00:00
106,SismologicoMX,"SISMO Magnitud 4.3 Loc  360 km al SURESTE de CABO SAN LUCAS, BCS 07/01/23 04:45:09 Lat 19.83 Lon -108.72 Pf 10 km https://t.co/gxdBjxRuVt",86,13,2023-01-07 11:14:05+00:00
107,SismologicoMX,"SISMO Magnitud 4.3 Loc. 360 km al SURESTE de CABO SAN LUCAS, BCS 07/01/23 04:45:09 Lat 19.83 Lon -108.72 Pf 10 km",54,2,2023-01-07 11:14:02+00:00
108,SismologicoMX,"Preliminar: SISMO Magnitud 4.2 Loc. 390 km al SUR de CABO SAN LUCAS, BCS 07/01/2023 04:45:06 Lat 19.40 Lon -109.42 Pf 10",62,4,2023-01-07 10:57:01+00:00
109,SismologicoMX,"Preliminar: SISMO Magnitud 4.2 Loc  390 km al SUR de CABO SAN LUCAS, BCS 07/01/23 04:45:06 Lat 19.40 Lon -109.42 Pf 10 km https://t.co/Y7veTiRmdd",70,9,2023-01-07 10:54:05+00:00
